alpha: ,gamma: , epsilon: , Win rate, Loss Rate ,,,,
0.03,1,0.34,0.403717241,0.511163362,,,,
0.03,1,0.35,0.403767811,0.511124034,,,,
0.03,1,0.36,0.403721795,0.511177778,,,,
0.03,1,0.37,0.403730213,0.511159149,,,,
0.03,1,0.38,0.40371822,0.511167373,,,,
0.03,1,0.39,0.403745148,0.511140084,,,,
0.03,1,0.4,0.403755462,0.511130252,,,,
0.03,1,0.41,0.403751464,0.511141423,,,,
0.03,1,0.42,0.403787917,0.511117083,,,,
0.03,1,0.43,0.403753112,0.511148133,,,,
0.03,1,0.44,0.403752479,0.511149174,,,,
0.03,1,0.45,0.403746914,0.511144444,,,,
0.03,1,0.46,0.40367582,0.511218033,,,,
0.03,1,0.47,0.403621224,0.511285714,,,,
0.03,1,0.48,0.403591057,0.511322358,,,,
0.03,1,0.49,0.403542915,0.511356275,,,,
0.03,1,0.5,0.403487903,0.511416129,,,,
0.03,1,0.51,0.403461446,0.511457831,,,,
0.03,1,0.52,0.4034492,0.5114704,,,,
0.03,1,0.53,0.403445817,0.51148247,,,,
0.03,1,0.54,0.403409127,0.511521032,,,,
0.03,1,0.55,0.403411858,0.511519763,,,,
0.03,1,0.56,0.403448031,0.511488976,,,,
0.03,1,0.57,0.403436863,0.511493725,,,,
0.03,1,0.58,0.403385156,0.511557813,,,,
0.03,1,0.59,0.403432685,0.511504669,,,,
0.03,1,0.6,0.403418992,0.511518992,,,,
0.03,1,0.61,0.403356757,0.511578764,,,,
0.03,1,0.62,0.403367692,0.511549615,,,,
0.03,1,0.63,0.403396935,0.51152069,,,,
0.03,1,0.64,0.403388168,0.511536641,,,,
0.03,1,0.65,0.403342966,0.511575665,,,,
0.03,1,0.66,0.403322348,0.511585985,,,,
0.03,1,0.67,0.403309811,0.511579623,,,,
0.03,1,0.68,0.40332594,0.511570301,,,,
0.03,1,0.69,0.403343446,0.511552434,,,,
0.03,1,0.7,0.40333097,0.511570522,,,,
0.03,1,0.71,0.403317472,0.511563941,,,,
0.03,1,0.72,0.403264815,0.511627778,,,,
0.03,1,0.73,0.403234317,0.511681919,,,,
0.03,1,0.74,0.403272426,0.511630882,,,,
0.03,1,0.75,0.403264103,0.511652015,,,,
0.03,1,0.76,0.403263139,0.511640146,,,,
0.03,1,0.77,0.403278182,0.511622182,,,,
0.03,1,0.78,0.403307609,0.511586957,,,,
0.03,1,0.79,0.403287004,0.511600722,,,,
0.03,1,0.8,0.403320144,0.511570144,,,,
0.03,1,0.81,0.403314337,0.511585305,,,,
0.03,1,0.82,0.403329643,0.511588214,,,,
0.03,1,0.83,0.403320996,0.511593238,,,,
0.03,1,0.84,0.403319858,0.511591489,,,,
0.03,1,0.85,0.403324735,0.511583039,,,,
0.03,1,0.86,0.403358099,0.511541197,,,,
0.03,1,0.87,0.403415088,0.511474737,,,,
0.03,1,0.88,0.403418531,0.511479021,,,,
0.03,1,0.89,0.403420557,0.511473519,,,,
0.03,1,0.9,0.403434028,0.511465278,,,,
0.03,1,0.91,0.403458131,0.511439792,,,,
0.03,1,0.92,0.403500345,0.511398966,,,,
0.03,1,0.93,0.403492784,0.511415808,,,,
0.03,1,0.94,0.403516096,0.511384589,,,,
0.03,1,0.95,0.403488396,0.511419113,,,,
0.03,1,0.96,0.403541837,0.511377891,,,,
0.03,1,0.97,0.403548814,0.51135661,,,,
0.03,1,0.98,0.403575,0.511325,,,,
0.03,1,0.99,0.403644444,0.511275758,,,,
0.04,1,0.01,0.403539262,0.511386242,,,,
0.04,1,0.02,0.403470569,0.511476589,,,,
0.04,1,0.03,0.403366667,0.51161,,,,
0.04,1,0.04,0.403316279,0.511671429,,,,
0.04,1,0.05,0.403252649,0.511754636,,,,
0.04,1,0.06,0.403270297,0.511755116,,,,
0.04,1,0.07,0.403216776,0.511810526,,,,
0.04,1,0.08,0.403154754,0.511878689,,,,
0.04,1,0.09,0.40314281,0.511884641,,,,
0.04,1,0.1,0.403061889,0.511965798,,,,
0.04,1,0.11,0.402996753,0.512031494,,,,
0.04,1,0.12,0.402875728,0.512177346,,,,
0.04,1,0.13,0.40284129,0.512226774,,,,
0.04,1,0.14,0.402756592,0.512328939,,,,
0.04,1,0.15,0.402720192,0.512341667,,,,
0.04,1,0.16,0.402644409,0.512413419,,,,
0.04,1,0.17,0.402649045,0.512425478,,,,
0.04,1,0.18,0.402604444,0.512459365,,,,
0.04,1,0.19,0.402570253,0.512486076,,,,
0.04,1,0.2,0.402550789,0.512507571,,,,
0.04,1,0.21,0.402506289,0.512553459,,,,
0.04,1,0.22,0.402495298,0.512573041,,,,
0.04,1,0.23,0.402464063,0.512598438,,,,
0.04,1,0.24,0.402401246,0.51265109,,,,
0.04,1,0.25,0.402353727,0.512696894,,,,
0.04,1,0.26,0.402306502,0.512748607,,,,
0.04,1,0.27,0.402276543,0.512764198,,,,
0.04,1,0.28,0.402197846,0.512862462,,,,
0.04,1,0.29,0.402155215,0.512927607,,,,
0.04,1,0.3,0.402070642,0.513018349,,,,
0.04,1,0.31,0.402050305,0.513046646,,,,
0.04,1,0.32,0.402047416,0.51304924,,,,
0.04,1,0.33,0.401984545,0.513105758,,,,
0.04,1,0.34,0.401945921,0.513157402,,,,
0.04,1,0.35,0.401910843,0.513187048,,,,
0.04,1,0.36,0.40186997,0.51325015,,,,
0.04,1,0.37,0.40182485,0.513289521,,,,
0.04,1,0.38,0.401781194,0.513335522,,,,
0.04,1,0.39,0.401790179,0.513329762,,,,
0.04,1,0.4,0.401760534,0.513341543,,,,
0.04,1,0.41,0.401747041,0.513352071,,,,
0.04,1,0.42,0.401725074,0.513366077,,,,
0.04,1,0.43,0.401675,0.513444118,,,,
0.04,1,0.44,0.401684457,0.513436657,,,,
0.04,1,0.45,0.401687719,0.513440643,,,,
0.04,1,0.46,0.401668805,0.513451895,,,,
0.04,1,0.47,0.401643605,0.513486047,,,,
0.04,1,0.48,0.401606087,0.513551304,,,,
0.04,1,0.49,0.401592775,0.513566763,,,,
0.04,1,0.5,0.401569741,0.513610951,,,,
