iteration: ,100000,,,,,,,,,,
alpha: ,0.1,,,,,,,,,,
gamma: ,1,,,,,,,,,,
epsilon: ,1.428571429,,,,,,,,,,
games:  ,300000,,,,,,,,,,
,,,,,,,,,,,
Iterations, Win rate, Loss Rate ,,,,,,,,,
100000,0.365273333,0.556163333,,,,,,,,,
,,,,,,,,,,,
Hard,,,,,,,,,,,
7,"	H", S, H, H, D, D, D, D, H, H, 
8,"	H", D, H, D, S, D, D, S, H, H, 
9,"	D", H, D, D, D, H, H, D, H, D, 
10,"	H", H, S, H, S, H, H, H, D, H, 
11,"	H", H, D, H, H, D, D, H, H, H, 
12,"	H", D, D, H, H, D, H, H, H, H, 
13,"	H", H, H, H, D, H, H, H, H, H, 
14,"	H", H, D, H, H, H, H, H, H, H, 
15,"	H", S, D, H, D, S, D, D, H, H, 
16,"	H", H, H, H, H, H, H, H, H, H, 
17,"	H", H, H, S, S, H, H, H, H, H, 
18,"	S", S, S, S, S, S, S, S, H, H, 
19,"	S", S, S, S, S, S, S, S, S, H, 
20,"	S", S, S, S, S, S, S, S, S, S, 
21,"	S", S, S, S, S, S, S, S, S, S, 
Soft,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
13,"	H", D, H, S, H, H, D, D, D, D, 
14,"	D", D, S, S, S, H, S, H, H, H, 
15,"	H", S, D, H, S, H, S, D, H, H, 
16,"	D", H, D, H, S, H, S, H, D, H, 
17,"	D", S, S, S, S, S, D, D, H, D, 
18,"	D", S, S, S, S, S, S, S, S, H, 
19,"	S", S, S, S, S, S, S, S, S, D, 
20,"	S", S, S, S, S, S, S, S, S, S, 
21,"	S", S, S, S, S, S, S, S, S, S, 
,,,,,,,,,,,
iteration: ,500000,,,,,,,,,,
alpha: ,0.4,,,,,,,,,,
gamma: ,1,,,,,,,,,,
epsilon: ,1,,,,,,,,,,
games:  ,300000,,,,,,,,,,
,,,,,,,,,,,
Iterations, Win rate, Loss Rate ,,,,,,,,,
500000,0.377713333,0.540303333,,,,,,,,,
,,,,,,,,,,,
Hard,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
2,"	H", H, H, H, H, H, H, H, H, H, 
3,"	H", H, H, H, H, H, H, H, H, H, 
4,"	H", D, H, D, H, H, H, H, H, D, 
5,"	H", H, D, D, D, H, D, D, D, H, 
6,"	D", H, H, D, D, H, H, D, H, H, 
7,"	D", D, D, H, H, H, D, H, H, H, 
8,"	H", H, H, H, D, H, H, H, H, H, 
9,"	H", D, H, D, H, D, H, D, D, H, 
10,"	D", H, H, H, D, H, D, D, D, H, 
11,"	H", D, H, H, H, D, H, H, H, H, 
12,"	H", H, D, H, H, D, D, H, H, H, 
13,"	H", D, H, H, D, H, H, H, H, H, 
14,"	H", H, H, H, H, H, H, H, H, H, 
15,"	H", H, H, H, H, H, H, H, H, H, 
16,"	H", H, H, H, H, H, H, H, H, H, 
17,"	H", H, H, H, S, H, H, H, H, H, 
18,"	S", S, S, S, S, S, S, H, H, H, 
19,"	S", S, S, S, S, S, S, S, H, H, 
20,"	S", S, S, S, S, S, S, S, S, S, 
21,"	S", S, S, S, S, S, S, S, S, S, 
Soft,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
13,"	D", D, H, H, D, D, D, H, H, H, 
14,"	D", H, D, H, H, D, H, H, D, H, 
15,"	D", H, D, D, D, D, D, H, D, H, 
16,"	H", D, D, D, H, D, D, D, H, H, 
17,"	D", D, H, S, S, S, H, H, D, H, 
18,"	S", S, S, S, S, S, S, D, D, H, 
19,"	S", S, S, S, S, S, S, S, H, H, 
20,"	S", S, S, S, S, S, S, S, S, H, 
21,"	S", S, S, S, S, S, S, S, S, S, 
,,,,,,,,,,,
iteration: ,500000,,,,,,,,,,
alpha: ,0.4,,,,,,,,,,
gamma: ,1,,,,,,,,,,
epsilon: ,1,,,,,,,,,,
games:  ,300000,,,,,,,,,,
,,,,,,,,,,,
Iterations, Win rate, Loss Rate ,,,,,,,,,
500000,0.374416667,0.54449,,,,,,,,,
,,,,,,,,,,,
Hard,,,,,,,,,,,
,2,3,4,5,6,7,8,9, T, A,
2,"	H", H, H, H, H, H, H, H, H, H, 
3,"	H", H, H, H, H, H, H, H, H, H, 
4,"	H", H, H, D, D, D, D, H, D, H, 
5,"	D", D, D, D, D, D, D, D, D, D, 
